image;name;website
mobilitydata-logo.png;MobilityData;https://mobilitydata.org/
veloetterritoires-logo.png;Vélo & Territoires;https://www.velo-territoires.org/
zenbus-logo.png;Zenbus;https://zenbus.fr/
kisiodigital-logo.svg;Kisio Digital;https://kisio.com/metiers/solutions-digitales/
transdev-logo.png;Transdev;https://www.transdev.com/fr/
ratp-dev.jpg;RATP Dev;https://www.ratpdev.com
geovelo.png;Geovelo;https://geovelo.fr
cutr.png;Center for Urban Transportation Research | University of South Florida;https://www.cutr.usf.edu/
